Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.027966	1.078947	1.103330	46.456043	93.860000	
0.026132	1.135901	1.083947	47.824067	94.340000	
0.024336	1.102983	1.098544	45.846885	93.770000	
0.022581	1.096141	1.019958	48.040886	94.250000	
0.020870	1.144189	1.071149	47.328481	94.540000	
0.019208	1.067513	1.090926	48.711992	94.080000	
0.017597	1.044452	1.008009	53.192917	94.650000	
0.016041	1.082097	1.152037	44.396262	94.820000	
0.014543	1.124357	1.191847	52.274018	94.200000	
0.013105	1.065071	1.011223	49.811574	95.020000	
0.011731	1.139189	1.046607	46.652212	94.930000	
0.010423	1.061626	1.070444	46.590264	95.040000	
0.009184	1.101650	1.120224	48.185432	94.900000	
0.008016	1.031085	1.096194	46.703836	94.990000	
0.006922	1.084356	1.142340	51.742295	95.250000	
0.005904	1.038148	1.082515	51.169274	95.280000	
0.004964	1.070012	1.132643	47.116824	95.220000	
0.004103	1.040225	0.939853	49.914821	95.240000	
0.003324	1.031069	1.089393	53.533633	95.340000	
0.002628	1.035220	1.128575	50.229725	95.320000	
0.002016	1.023836	1.043341	48.918486	95.280000	
0.001490	1.074882	1.020710	48.603583	95.320000	
0.001050	1.010717	1.097792	47.189097	95.370000	
0.000698	1.048660	0.999354	48.825564	95.460000	
0.000435	0.965589	1.073116	50.668525	95.420000	
0.000259	1.095832	1.111815	51.029890	95.370000	
0.000173	1.098411	1.191889	50.725311	95.280000	
0.080976	1.140475	1.045321	50.071703	88.400000	
0.080903	1.230051	1.161502	45.207365	90.930000	
0.080782	1.216606	1.037754	47.914874	86.350000	
0.080612	1.204627	1.160764	43.360294	92.170000	
0.080395	1.221704	1.228889	47.111799	91.490000	
0.080129	1.253900	1.107368	47.582172	90.710000	
0.079816	1.241207	1.155154	44.679631	92.350000	
0.079456	1.243592	1.139695	43.492227	89.590000	
0.079050	1.220188	1.175061	44.828773	89.470000	
0.078597	1.244089	1.115612	46.796306	88.780000	
0.078098	1.161920	1.090944	48.890036	91.160000	
0.077554	1.201082	1.087438	45.488441	90.330000	
0.076966	1.231264	1.109513	45.758045	91.530000	
0.076335	1.199543	1.113880	44.295302	92.690000	
0.075660	1.224392	1.150004	47.926347	91.460000	
0.074943	1.186059	1.050342	42.712098	92.570000	
0.074185	1.172283	1.063738	46.417714	92.340000	
0.073386	1.206732	1.118244	43.888028	92.600000	
0.072548	1.195241	1.139587	44.197786	90.970000	
0.071672	1.241923	1.062724	46.979866	92.700000	
0.070759	1.184498	1.074429	45.528595	92.270000	
0.069809	1.186682	1.068909	43.916710	92.400000	
0.068824	1.169938	1.050031	45.935869	91.860000	
0.067805	1.179674	0.992559	48.259049	92.880000	
0.066753	1.190024	1.011074	50.496185	91.900000	
0.065670	1.167341	1.015120	44.679631	92.550000	
0.064557	1.213440	1.211904	48.798256	92.920000	
0.063415	1.218627	1.110747	48.557334	92.930000	
0.062245	1.158969	1.054564	44.817301	92.680000	
0.061050	1.194267	1.138667	47.576435	93.010000	
0.059830	1.168542	1.174737	46.911031	93.250000	
0.058587	1.140045	1.110871	45.712155	92.810000	
0.057322	1.206749	1.153376	46.819251	92.990000	
0.056037	1.154519	1.047630	46.933976	92.740000	
0.054733	1.156819	1.121567	48.884300	93.280000	
0.053413	1.191346	1.202576	46.853668	92.620000	
0.052077	1.194312	1.095145	48.763839	93.390000	
0.050727	1.133742	1.101433	53.479034	93.500000	
0.049365	1.121348	1.016440	44.346928	93.110000	
0.047992	1.140868	1.069882	50.415878	93.870000	
0.046611	1.130880	1.111006	51.712270	94.290000	
0.045222	1.128546	1.194804	49.601331	93.470000	
0.043828	1.125135	1.032842	49.463661	93.890000	
0.042430	1.143454	1.088081	50.043022	93.580000	
0.041029	1.142308	1.137207	49.354672	93.560000	
0.039628	1.141389	1.123995	44.679631	93.380000	
0.038228	1.153965	1.146233	52.595652	93.940000	
0.036831	1.069128	1.136546	47.857512	93.410000	
0.035438	1.137599	1.095497	48.000918	94.070000	
0.034052	1.104623	0.998245	47.042964	94.250000	
0.032673	1.122459	1.065567	46.302989	94.300000	
0.031304	1.082293	1.132231	42.907130	94.470000	
0.029946	1.128387	1.153381	48.104170	94.490000	
0.028601	1.071584	1.133132	50.536339	94.850000	
0.027270	1.065097	0.914651	52.544026	94.780000	
0.025955	1.102291	1.102112	47.031492	95.120000	
0.024658	1.087693	1.014033	49.509551	95.230000	
0.023379	1.090357	1.111622	48.947399	94.680000	
0.022122	1.073923	1.024032	49.905352	94.700000	
0.020886	1.078342	1.031522	44.301038	94.500000	
0.019674	1.081308	1.064573	52.480927	95.430000	
0.018487	1.065819	1.139717	50.375724	95.070000	
0.017327	1.068818	1.115335	53.926461	95.530000	
0.016194	1.068029	1.150452	53.100442	95.340000	
0.015091	1.008264	1.023853	49.073596	95.510000	
0.014019	1.059062	1.161234	46.377560	95.580000	
0.012978	1.012029	1.046393	50.255263	95.310000	
0.011970	1.007253	1.048963	49.062124	95.720000	
0.010997	1.014326	1.052682	49.021970	95.330000	
0.010059	1.009887	1.086333	55.647336	95.710000	
0.009158	0.988521	1.041086	47.943555	95.670000	
0.008295	1.036066	1.109838	54.913096	95.750000	
0.007470	1.022878	1.063915	49.452188	95.810000	
0.006685	1.007790	1.133707	48.368038	95.810000	
0.005941	1.032433	1.103065	49.704583	95.710000	
0.005238	0.993610	1.098318	52.027763	95.720000	
0.004578	1.005145	1.086815	51.373831	95.770000	
0.003961	1.011492	1.129695	52.435037	95.940000	
0.003388	1.022895	1.064685	54.683646	95.980000	
0.002859	1.014178	0.933670	51.654907	96.000000	
0.002376	0.904210	1.099664	50.427350	95.890000	
0.001939	1.023858	1.091286	52.188378	95.920000	
0.001548	1.031103	1.148650	56.628234	95.980000	
0.001204	1.029109	1.093362	47.662479	95.990000	
0.000907	1.024308	1.165466	51.769632	96.050000	
0.000657	0.964625	1.087850	50.760053	96.050000	
0.000456	0.973582	0.989704	51.809786	96.090000	
0.000303	0.959101	1.008012	52.503872	96.090000	
0.000198	0.978551	1.061929	50.100384	96.150000	
0.000142	0.939391	1.095357	49.062124	96.030000	
